,user_id,made_on,original_description,amount_cents,income
48,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-15,Max Johnson Pay Sent from Monzo BGC,500,True
49,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-15,SMITH V AIRBNB FT,14900,True
50,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-15,SMITH V SPLITWISE FT,14847,True
51,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-13,FANCY DRESS TOWN ON 12 JUL BCC,2999,False
52,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-13,AIRBNB * HMAMXNYPD ON 12 JUL BCC,96958,False
53,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-11,TESCO STORES 5518 ON 10 JUL CLP,180,False
54,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-11,SumUp *Vin's Thai ON 10 JUL CLP,700,False
55,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-11,SAINSBURYS S/MKTS ON 10 JUL BCC,600,False
56,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-11,PRET A MANGER ON 10 JUL CLP,150,False
57,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,O 3 FONTAINES 2031 FRANCE AMOUNT IN EUR 10.00 ON 07 JUL VISA 1.11434 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.25,922,False
58,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,QUALITY HOTEL BO FRANCE AMOUNT IN EUR 78.35 ON 08 JUL VISA 1.11434 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £1.93,7224,False
59,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,OFFICE DE TOURISME FRANCE AMOUNT IN EUR 18.00 ON 06 JUL VISA 1.11434 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.44,1659,False
60,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,LOGIS DE LA CADENE FRANCE AMOUNT IN EUR 113.33 ON 06 JUL VISA 1.11434 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £2.80,10450,False
61,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,LDMT FRANCE AMOUNT IN EUR 10.95 ON 07 JUL VISA 1.11434 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.27,1010,False
62,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,LA MIE CALINE FRANCE AMOUNT IN EUR 1.90 ON 08 JUL VISA 1.11434 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.05,176,False
63,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,RYANAIR 22400000XV ON 05 JUL BCC,13919,False
64,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-09,NYA*Pure Gym ON 08 JUL BCC,230,False
65,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-08,CHATEAU SOUTARD 45 FRANCE AMOUNT IN EUR 36.00 ON 07 JUL VISA 1.113 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.89,3324,False
66,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-08,CEAPC FRANCE ON 08 JUL ATM,1901,False
67,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-08,Place Bouqueyere FRANCE ON 07 JUL ATM,2008,False
68,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-08,LA BONHEUR 4369857 FRANCE AMOUNT IN EUR 7.80 ON 07 JUL VISA 1.113 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.19,720,False
69,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-08,PURE GYM LTD 126204012579010006 DDR,2849,False
70,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-07,LES CORDELIERS FRANCE AMOUNT IN EUR 34.80 ON 06 JUL VISA 1.113 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.86,3213,False
71,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-07,MARCHAND SOIF FRANCE AMOUNT IN EUR 16.00 ON 06 JUL VISA 1.113 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.40,1478,False
72,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-06,NOT ALWAYS CAVIAR ON 05 JUL CLP,249,False
73,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-06,christophe labor FRANCE AMOUNT IN EUR 150.00 ON 05 JUL VISA 1.113 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £3.71,13848,False
74,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-06,WWW.THREE.CO.UK ON 05 JUL BCC,1000,False
75,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-06,H & M ON 05 JUL BCC,3095,False
76,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-06,GRADUATION SERVICE ON 05 JUL BCC,3400,False
77,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-06,THE CABIN ON 05 JUL CLP,250,False
78,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-06,GIRAFFE 1986 ON 05 JUL CLP,1595,False
79,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-05,LOAN REPAYM 05 JUL BCC,1250,False
80,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-05,PP*VINAI ON 04 JUL BCC,700,False
81,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-05,TESCO STORES 5518 ON 04 JUL CLP,335,False
82,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-04,John Hutchins Splitwise John Vin BGC,1961,True
83,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-04,TESCO STORES 5518 ON 03 JUL CLP,135,False
84,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-04,SumUp *Vin's Thai ON 03 JUL CLP,700,False
85,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-04,PRET A MANGER ON 03 JUL CLP,819,False
86,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-04,AMZNMktplace ON 03 JUL BCC,1140,False
87,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-04,AMZNMktplace ON 03 JUL BCC,385,False
88,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-03,AIRBNB * HMAF54WP5 ON 02 JUL BCC,6145,False
89,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-02,TRANSFERWISE P10973904 FT,16359,False
90,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-02,SAINSBURYS BANK Sainsburys Bank 02JUL 13.06 ATM,1000,False
91,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-02,PP*VINAI ON 01 JUL CLP,700,False
92,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-02,PRINCE ALFRED ON 30 JUN CLP,520,False
93,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-01,Stephen Rendell Xoom.com remittanc BGC,14900,True
94,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-01,DROPBOX*X3K245KMX3 IRELAND ON 30 JUN BCC,799,False
95,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-01,SAINSBURYS S/MKTS ON 30 JUN CLP,785,False
96,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-01,PRET A MANGER ON 30 JUN BCC,150,False
97,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-01,Ross Powel POWEL ROSS BGC,13626,True
98,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-07-01,Ross Powel POWEL ROSS BGC,294,True
99,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-30,PROBIERZ B M B PROUST FT,14900,True
100,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-30,HANK J BWILSON BGC,14900,True
101,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-30,BRITISH A 12597948 ON 28 JUN BCC,11900,False
102,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-30,FERASER LIMITED ON 29 JUN CLP,1315,False
103,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-30,UBER TRIP HELP.UBE ON 29 JUN BCC,2567,False
104,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-29,Christopher Probert UCLFC Summer o Fun BGC,14900,True
105,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-29,BABUJI ON 27 JUN CLP,2100,False
106,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-29,COPITA ON 28 JUN BCC,4804,True
107,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-29,SAS 1182465334372 ON 28 JUN BCC,11860,False
108,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-29,COPITA ON 28 JUN BCC,11211,False
109,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-28,LOAN REPAYM 28 JUN BCC,1250,False
110,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-28,TESCO STORES 5518 ON 27 JUN CLP,550,False
111,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-28,JOHN SMITH RENT ETC STO,70236,False
112,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-27,Gaucho BBQ ON 26 JUN CLP,1287,False
113,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-27,Queensway Food & W ON 26 JUN BCC,427,False
114,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-27,PP*VINAI ON 26 JUN CLP,700,False
115,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-27,WORK LIMITED JUNPAY BGC,178227,True
116,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-26,SumUp *Vin's Thai ON 25 JUN CLP,700,False
117,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-26,KUSADASI RESTAURAN ON 24 JUN CLP,950,False
